time,p,s
527,True,False
528,False,False
529,False,False
530,False,False
531,False,True
532,True,False
533,False,False
534,False,False
535,False,False
536,False,False
537,False,True
538,True,False
539,False,False
540,False,False
541,False,False
542,False,False
543,False,False
544,False,True
545,True,False
546,False,False
547,False,False
548,False,False
549,False,False
550,False,False
551,False,False
552,False,False
553,False,True
554,True,False
555,False,False
556,False,False
557,False,False
558,False,False
559,False,False
560,False,False
561,False,False
562,False,False
563,False,False
564,False,True
565,True,False
566,False,False
567,False,False
568,False,False
569,False,False
570,False,False
571,False,False
572,False,False
573,False,False
574,False,True
575,True,False
576,False,False
577,False,False
578,False,False
579,False,False
580,False,False
581,False,False
582,False,False
583,False,False
584,False,True
585,True,False
586,False,False
587,False,False
588,False,False
589,False,False
590,False,False
591,False,False
592,False,False
593,False,False
594,False,True
595,True,False
596,False,False
597,False,False
598,False,False
599,False,False
600,False,False
601,False,False
602,False,False
603,False,False
604,False,False
605,False,True
606,True,False
607,False,False
608,False,False
609,False,False
610,False,False
611,False,False
612,False,False
613,False,False
614,False,True
615,True,False
616,False,False
617,False,False
618,False,False
619,False,True
620,True,False
621,False,False
622,False,False
623,False,False
624,False,False
625,False,False
626,False,False
627,False,False
628,False,False
629,False,True
630,True,False
631,False,False
632,False,False
633,False,False
634,False,False
635,False,False
636,False,False
637,False,False
638,False,False
639,False,False
640,False,True
641,True,False
642,False,False
643,False,False
644,False,False
645,False,False
646,False,False
647,False,True
648,True,False
649,False,False
650,False,False
651,False,False
652,False,False
653,False,True
654,True,False
655,False,False
656,False,False
657,False,False
658,False,False
659,False,False
660,False,True
661,True,False
662,False,False
663,False,False
664,False,False
665,False,False
666,False,False
667,False,True
668,True,False
669,False,False
670,False,False
671,False,False
672,False,False
673,False,False
674,False,False
675,False,False
676,False,False
677,False,False
678,False,True
679,True,False
680,False,False
681,False,False
682,False,False
683,False,False
684,False,False
685,False,True
686,True,False
687,False,False
688,False,False
689,False,False
690,False,False
691,False,False
692,False,False
693,False,False
694,False,True
695,True,False
696,False,False
697,False,False
698,False,False
699,False,False
700,False,False
701,False,True
702,True,False
703,False,False
704,False,False
705,False,False
706,False,True
707,True,False
708,False,False
709,False,False
710,False,False
711,False,False
712,False,False
713,False,False
714,False,False
715,False,False
716,False,False
717,False,True
718,True,False
719,False,False
720,False,False
721,False,False
722,False,False
723,False,False
724,False,False
725,False,True
726,True,False
727,False,False
728,False,False
729,False,False
730,False,False
731,False,True
732,True,False
733,False,False
734,False,False
735,False,False
736,False,True
737,True,False
738,False,False
739,False,False
740,False,False
741,False,False
742,False,False
743,False,True
744,True,False
745,False,False
746,False,False
747,False,False
748,False,False
749,False,False
750,False,False
751,False,False
752,False,False
753,False,False
754,False,True
755,True,False
756,False,False
757,False,False
758,False,False
759,False,False
760,False,False
761,False,True
762,True,False
763,False,False
764,False,False
765,False,False
766,False,False
767,False,False
768,False,False
769,False,False
770,False,False
771,False,False
772,False,True
773,True,False
774,False,False
775,False,False
776,False,False
777,False,False
778,False,False
779,False,False
780,False,True
781,True,False
782,False,False
783,False,False
784,False,False
785,False,False
786,False,False
787,False,False
788,False,True
789,True,False
790,False,False
791,False,False
792,False,False
793,False,False
794,False,False
795,False,True
796,True,False
797,False,False
798,False,False
799,False,False
800,False,False
801,False,False
802,False,False
803,False,True
804,True,False
805,False,False
806,False,False
807,False,False
808,False,False
809,False,False
810,False,True
811,True,False
812,False,False
813,False,False
814,False,False
815,False,False
816,False,False
817,False,True
818,True,False
819,False,False
820,False,False
821,False,False
822,False,False
823,False,True
824,True,False
825,False,False
826,False,False
827,False,False
828,False,False
829,False,True
830,True,False
831,False,False
832,False,False
833,False,False
834,False,False
835,False,False
836,False,True
837,True,False
838,False,False
839,False,False
840,False,False
841,False,False
842,False,False
843,False,False
844,False,True
845,True,False
846,False,False
847,False,False
848,False,False
849,False,True
850,True,False
851,False,False
852,False,False
853,False,False
854,False,False
855,False,False
856,False,False
857,False,False
858,False,True
859,True,False
860,False,False
861,False,False
862,False,False
863,False,False
864,False,False
865,False,False
866,False,True
867,True,False
868,False,False
869,False,False
870,False,False
871,False,False
872,False,False
873,False,False
874,False,False
875,False,False
876,False,True
877,True,False
878,False,False
879,False,False
880,False,False
881,False,True
882,True,False
883,False,False
884,False,False
885,False,False
886,False,False
887,False,False
888,False,False
889,False,False
890,False,True
891,True,False
892,False,False
893,False,False
894,False,False
895,False,False
896,False,False
897,False,False
898,False,False
899,False,False
900,False,True
901,True,False
902,False,False
903,False,False
904,False,False
905,False,False
906,False,False
907,False,False
908,False,False
909,False,True
910,True,False
911,False,False
912,False,False
913,False,False
914,False,False
915,False,False
916,False,False
917,False,False
918,False,False
919,False,True
920,True,False
921,False,False
922,False,False
923,False,False
924,False,False
925,False,True
926,True,False
927,False,False
928,False,False
929,False,False
930,False,False
931,False,False
932,False,False
933,False,True
934,True,False
935,False,False
936,False,False
937,False,False
938,False,False
939,False,False
940,False,False
941,False,False
942,False,False
943,False,False
944,False,True
945,True,False
946,False,False
947,False,False
948,False,False
949,False,False
950,False,False
951,False,False
952,False,False
953,False,False
954,False,True
955,True,False
956,False,False
957,False,False
958,False,False
959,False,False
960,False,False
961,False,False
962,False,False
963,False,False
964,False,True
965,True,False
966,False,False
967,False,False
968,False,False
969,False,True
970,True,False
971,False,False
972,False,False
973,False,False
974,False,False
975,False,False
976,False,False
977,False,False
978,False,False
979,False,True
980,True,False
981,False,False
982,False,False
983,False,False
984,False,False
985,False,False
986,False,False
987,False,False
988,False,False
989,False,False
990,False,True
991,True,False
992,False,False
993,False,False
994,False,False
995,False,False
996,False,False
997,False,True
998,True,False
999,False,False
1000,False,False
1001,False,False
1002,False,False
1003,False,False
1004,False,False
1005,False,True
1006,True,False
1007,False,False
1008,False,False
1009,False,False
1010,False,False
1011,False,False
1012,False,False
1013,False,False
1014,False,True
1015,True,False
1016,False,False
1017,False,False
1018,False,False
1019,False,False
1020,False,False
1021,False,False
1022,False,False
1023,False,True
1024,True,False
1025,False,False
1026,False,False
1027,False,False
1028,False,False
1029,False,False
1030,False,False
1031,False,True
1032,True,False
1033,False,False
1034,False,False
1035,False,False
1036,False,False
1037,False,False
1038,False,False
1039,False,False
1040,False,True
1041,True,False
1042,False,False
1043,False,False
1044,False,False
1045,False,False
1046,False,False
1047,False,False
1048,False,True
1049,True,False
1050,False,False
1051,False,False
1052,False,False
1053,False,False
1054,False,False
1055,False,False
1056,False,False
1057,False,False
1058,False,True
1059,True,False
1060,False,False
1061,False,False
1062,False,False
1063,False,False
1064,False,False
1065,False,False
1066,False,False
1067,False,True
1068,True,False
1069,False,False
1070,False,False
1071,False,False
1072,False,False
1073,False,False
1074,False,False
1075,False,False
1076,False,False
1077,False,False
1078,False,True
1079,True,False
1080,False,False
1081,False,False
1082,False,False
1083,False,False
1084,False,False
1085,False,False
1086,False,False
1087,False,False
1088,False,False
1089,False,True
1090,True,False
1091,False,False
1092,False,False
1093,False,False
1094,False,False
1095,False,False
1096,False,False
1097,False,False
1098,False,False
1099,False,False
1100,False,True
1101,True,False
1102,False,False
1103,False,False
1104,False,False
1105,False,False
1106,False,True
1107,True,False
1108,False,False
1109,False,False
1110,False,False
1111,False,False
1112,False,False
1113,False,False
1114,False,False
1115,False,True
1116,True,False
1117,False,False
1118,False,False
1119,False,False
1120,False,False
1121,False,False
1122,False,False
1123,False,False
1124,False,False
1125,False,True
1126,True,False
1127,False,False
1128,False,False
1129,False,False
1130,False,False
1131,False,False
1132,False,False
1133,False,False
1134,False,True
1135,True,False
1136,False,False
1137,False,False
1138,False,False
1139,False,False
1140,False,True
1141,True,False
1142,False,False
1143,False,False
1144,False,False
1145,False,False
1146,False,False
1147,False,False
1148,False,False
1149,False,False
1150,False,True
1151,True,False
1152,False,False
1153,False,False
1154,False,False
1155,False,True
1156,True,False
1157,False,False
1158,False,False
1159,False,False
1160,False,True
1161,True,False
1162,False,False
1163,False,False
1164,False,False
1165,False,False
1166,False,True
1167,True,False
1168,False,False
1169,False,False
1170,False,False
1171,False,False
1172,False,False
1173,False,True
1174,True,False
1175,False,False
1176,False,False
1177,False,False
1178,False,False
1179,False,True
1180,True,False
1181,False,False
1182,False,False
1183,False,False
1184,False,False
1185,False,True
1186,True,False
1187,False,False
1188,False,False
1189,False,False
1190,False,False
1191,False,False
1192,False,True
1193,True,False
1194,False,False
1195,False,False
1196,False,False
1197,False,False
1198,False,True
1199,True,False
1200,False,False
1201,False,False
1202,False,False
1203,False,False
1204,False,True
1205,True,False
1206,False,False
1207,False,False
1208,False,False
1209,False,False
1210,False,False
1211,False,False
1212,False,False
1213,False,False
1214,False,False
1215,False,True
1216,True,False
1217,False,False
1218,False,False
1219,False,False
1220,False,False
1221,False,False
1222,False,False
1223,False,False
1224,False,True
1225,True,False
1226,False,False
1227,False,False
1228,False,False
1229,False,False
1230,False,True
1231,True,False
1232,False,False
1233,False,False
1234,False,False
1235,False,False
1236,False,False
1237,False,False
1238,False,False
1239,False,False
1240,False,True
1241,True,False
1242,False,False
1243,False,False
1244,False,False
1245,False,False
1246,False,False
1247,False,False
1248,False,False
1249,False,True
1250,True,False
1251,False,False
1252,False,False
1253,False,False
1254,False,False
1255,False,False
1256,False,False
1257,False,False
1258,False,True
1259,True,False
1260,False,False
1261,False,False
1262,False,False
1263,False,False
1264,False,False
1265,False,False
1266,False,False
1267,False,False
1268,False,True
1269,True,False
1270,False,False
1271,False,False
1272,False,False
1273,False,False
1274,False,False
1275,False,True
1276,True,False
1277,False,False
1278,False,False
1279,False,False
1280,False,False
1281,False,False
1282,False,False
1283,False,False
1284,False,False
1285,False,False
1286,False,True
1287,True,False
1288,False,False
1289,False,False
1290,False,False
1291,False,True
1292,True,False
1293,False,False
1294,False,False
1295,False,False
1296,False,True
1297,True,False
1298,False,False
1299,False,False
1300,False,False
1301,False,False
1302,False,False
1303,False,False
1304,False,False
1305,False,False
1306,False,True
1307,True,False
1308,False,False
1309,False,False
1310,False,False
1311,False,False
1312,False,False
1313,False,False
1314,False,True
1315,True,False
1316,False,False
1317,False,False
1318,False,False
1319,False,False
1320,False,False
1321,False,False
1322,False,False
1323,False,False
1324,False,False
1325,False,True
1326,True,False
1327,False,False
1328,False,False
1329,False,False
1330,False,False
1331,False,False
1332,False,False
1333,False,False
1334,False,False
1335,False,False
1336,False,True
1337,True,False
1338,False,False
1339,False,False
1340,False,False
1341,False,False
1342,False,False
1343,False,False
1344,False,False
1345,False,False
1346,False,False
1347,False,True
1348,True,False
1349,False,False
1350,False,False
1351,False,False
1352,False,False
1353,False,False
1354,False,False
1355,False,True
1356,True,False
1357,False,False
1358,False,False
1359,False,False
1360,False,True
1361,True,False
1362,False,False
1363,False,False
1364,False,False
1365,False,False
1366,False,False
1367,False,False
1368,False,False
1369,False,False
1370,False,True
1371,True,False
1372,False,False
1373,False,False
1374,False,False
1375,False,True
1376,True,False
1377,False,False
1378,False,False
1379,False,False
1380,False,True
1381,True,False
1382,False,False
1383,False,False
1384,False,False
1385,False,True
1386,True,False
1387,False,False
1388,False,False
1389,False,False
1390,False,True
1391,True,False
1392,False,False
1393,False,False
1394,False,False
1395,False,False
1396,False,False
1397,False,False
1398,False,False
1399,False,True
1400,True,False
1401,False,False
1402,False,False
1403,False,False
1404,False,False
1405,False,False
1406,False,False
1407,False,False
1408,False,True
1409,True,False
1410,False,False
1411,False,False
1412,False,False
1413,False,False
1414,False,True
1415,True,False
1416,False,False
1417,False,False
1418,False,False
1419,False,False
1420,False,False
1421,False,False
1422,False,True
1423,True,False
1424,False,False
1425,False,False
1426,False,False
1427,False,False
1428,False,False
1429,False,True
1430,True,False
1431,False,False
1432,False,False
1433,False,False
1434,False,False
1435,False,False
1436,False,False
1437,False,False
1438,False,False
1439,False,False
1440,False,True
1441,True,False
1442,False,False
1443,False,False
1444,False,False
1445,False,False
1446,False,False
1447,False,False
1448,False,False
1449,False,True
1450,True,False
1451,False,False
1452,False,False
1453,False,False
1454,False,False
1455,False,False
1456,False,False
1457,False,False
1458,False,False
1459,False,True
1460,True,False
1461,False,False
1462,False,False
1463,False,False
1464,False,False
1465,False,False
1466,False,False
1467,False,False
1468,False,True
1469,True,False
1470,False,False
1471,False,False
1472,False,False
1473,False,False
1474,False,False
1475,False,False
1476,False,True
1477,True,False
1478,False,False
1479,False,False
1480,False,False
1481,False,False
1482,False,False
1483,False,False
1484,False,False
1485,False,False
1486,False,True
1487,True,False
1488,False,False
1489,False,False
1490,False,False
1491,False,False
1492,False,False
1493,False,False
1494,False,True
1495,True,False
1496,False,False
1497,False,False
1498,False,False
1499,False,False
1500,False,False
1501,False,False
1502,False,False
1503,False,False
1504,False,True
1505,True,False
1506,False,False
1507,False,False
1508,False,False
1509,False,True
1510,True,False
1511,False,False
1512,False,False
1513,False,False
1514,False,False
1515,False,False
1516,False,False
1517,False,False
1518,False,False
1519,False,True
1520,True,False
1521,False,False
1522,False,False
1523,False,False
1524,False,False
1525,False,False
1526,False,False
1527,False,False
1528,False,False
1529,False,True
1530,True,False
1531,False,False
1532,False,False
1533,False,False
1534,False,False
1535,False,False
1536,False,False
1537,False,False
1538,False,False
1539,False,False
1540,False,True
1541,True,False
1542,False,False
1543,False,False
1544,False,False
1545,False,False
1546,False,False
1547,False,False
1548,False,False
1549,False,False
1550,False,False
1551,False,True
1552,True,False
1553,False,False
1554,False,False
1555,False,False
1556,False,False
1557,False,False
1558,False,False
1559,False,True
1560,True,False
1561,False,False
1562,False,False
1563,False,False
1564,False,False
1565,False,False
1566,False,False
1567,False,False
1568,False,True
1569,True,False
1570,False,False
1571,False,False
1572,False,False
1573,False,False
1574,False,False
1575,False,False
1576,False,False
1577,False,True
1578,True,False
1579,False,False
1580,False,False
1581,False,False
1582,False,False
1583,False,True
1584,True,False
1585,False,False
1586,False,False
1587,False,False
1588,False,False
1589,False,False
1590,False,False
1591,False,False
1592,False,False
1593,False,False
1594,False,True
1595,True,False
1596,False,False
1597,False,False
1598,False,False
1599,False,True
1600,True,False
1601,False,False
1602,False,False
1603,False,False
1604,False,False
1605,False,False
1606,False,False
1607,False,False
1608,False,True
1609,True,False
1610,False,False
1611,False,False
1612,False,False
1613,False,False
1614,False,True
1615,True,False
1616,False,False
1617,False,False
1618,False,False
1619,False,False
1620,False,False
1621,False,True
1622,True,False
1623,False,False
1624,False,False
1625,False,False
1626,False,False
1627,False,True
1628,True,False
1629,False,False
1630,False,False
1631,False,False
1632,False,False
1633,False,False
1634,False,False
1635,False,False
1636,False,True
1637,True,False
1638,False,False
1639,False,False
1640,False,False
1641,False,False
1642,False,False
1643,False,False
1644,False,False
1645,False,False
1646,False,False
1647,False,True
1648,True,False
1649,False,False
1650,False,False
1651,False,False
1652,False,False
1653,False,True
1654,True,False
1655,False,False
1656,False,False
1657,False,False
1658,False,False
1659,False,False
1660,False,False
1661,False,False
1662,False,False
1663,False,True
1664,True,False
1665,False,False
1666,False,False
1667,False,False
1668,False,True
1669,True,False
1670,False,False
1671,False,False
1672,False,False
1673,False,True
1674,True,False
1675,False,False
1676,False,False
1677,False,False
1678,False,False
1679,False,False
1680,False,False
1681,False,False
1682,False,False
1683,False,True
1684,True,False
1685,False,False
1686,False,False
1687,False,False
1688,False,False
1689,False,False
1690,False,True
1691,True,False
1692,False,False
1693,False,False
1694,False,False
1695,False,False
1696,False,False
1697,False,False
1698,False,False
1699,False,False
1700,False,False
1701,False,True
1702,True,False
1703,False,False
1704,False,False
1705,False,False
1706,False,False
1707,False,False
1708,False,True
1709,True,False
1710,False,False
1711,False,False
1712,False,False
1713,False,False
1714,False,False
1715,False,False
1716,False,False
1717,False,True
1718,True,False
1719,False,False
1720,False,False
1721,False,False
1722,False,True
1723,True,False
1724,False,False
1725,False,False
1726,False,False
1727,False,False
1728,False,False
1729,False,False
1730,False,False
1731,False,True
1732,True,False
1733,False,False
1734,False,False
1735,False,False
1736,False,True
1737,True,False
1738,False,False
1739,False,False
1740,False,False
1741,False,False
1742,False,True
1743,True,False
1744,False,False
1745,False,False
1746,False,False
1747,False,False
1748,False,True
1749,True,False
1750,False,False
1751,False,False
1752,False,False
1753,False,False
1754,False,True
1755,True,False
1756,False,False
1757,False,False
1758,False,False
1759,False,False
1760,False,False
1761,False,False
1762,False,False
1763,False,False
1764,False,False
1765,False,True
1766,True,False
1767,False,False
1768,False,False
1769,False,False
1770,False,False
1771,False,False
1772,False,False
1773,False,True
1774,True,False
1775,False,False
1776,False,False
1777,False,False
1778,False,False
1779,False,False
1780,False,False
1781,False,False
1782,False,True
1783,True,False
1784,False,False
1785,False,False
1786,False,False
1787,False,False
1788,False,True
1789,True,False
1790,False,False
1791,False,False
1792,False,False
1793,False,False
1794,False,False
1795,False,False
1796,False,False
1797,False,False
1798,False,False
1799,False,True
1800,True,False
1801,False,False
1802,False,False
1803,False,False
1804,False,False
1805,False,False
1806,False,False
1807,False,False
1808,False,True
1809,True,False
1810,False,False
1811,False,False
1812,False,False
1813,False,False
1814,False,False
1815,False,True
1816,True,False
1817,False,False
1818,False,False
1819,False,False
1820,False,False
1821,False,False
1822,False,False
1823,False,True
1824,True,False
1825,False,False
1826,False,False
1827,False,False
1828,False,False
1829,False,False
1830,False,False
1831,False,False
1832,False,True
1833,True,False
1834,False,False
1835,False,False
1836,False,False
1837,False,False
1838,False,False
1839,False,True
1840,True,False
1841,False,False
1842,False,False
1843,False,False
1844,False,False
1845,False,False
1846,False,True
1847,True,False
1848,False,False
1849,False,False
1850,False,False
1851,False,False
1852,False,False
1853,False,True
1854,True,False
1855,False,False
1856,False,False
1857,False,False
1858,False,False
1859,False,True
1860,True,False
1861,False,False
1862,False,False
1863,False,False
1864,False,True
1865,True,False
1866,False,False
1867,False,False
1868,False,False
1869,False,False
1870,False,False
1871,False,True
1872,True,False
1873,False,False
1874,False,False
1875,False,False
1876,False,False
1877,False,False
1878,False,False
1879,False,False
1880,False,False
1881,False,False
1882,False,True
1883,True,False
1884,False,False
1885,False,False
1886,False,False
1887,False,False
1888,False,False
1889,False,False
1890,False,False
1891,False,False
1892,False,False
1893,False,True
1894,True,False
1895,False,False
1896,False,False
1897,False,False
1898,False,True
1899,True,False
1900,False,False
1901,False,False
1902,False,False
1903,False,False
1904,False,True
1905,True,False
1906,False,False
1907,False,False
1908,False,False
1909,False,False
1910,False,False
1911,False,False
1912,False,True
1913,True,False
1914,False,False
1915,False,False
1916,False,False
1917,False,False
1918,False,False
1919,False,False
1920,False,False
1921,False,False
1922,False,False
1923,False,True
1924,True,False
1925,False,False
1926,False,False
1927,False,False
1928,False,False
1929,False,False
1930,False,False
1931,False,True
1932,True,False
1933,False,False
1934,False,False
1935,False,False
1936,False,False
1937,False,False
1938,False,True
1939,True,False
1940,False,False
1941,False,False
1942,False,False
1943,False,False
1944,False,False
1945,False,False
1946,False,True
1947,True,False
1948,False,False
1949,False,False
1950,False,False
1951,False,False
1952,False,True
1953,True,False
1954,False,False
1955,False,False
1956,False,False
1957,False,False
1958,False,False
1959,False,False
1960,False,False
1961,False,True
1962,True,False
1963,False,False
1964,False,False
1965,False,False
1966,False,False
1967,False,False
1968,False,False
1969,False,False
1970,False,False
1971,False,False
1972,False,True
1973,True,False
1974,False,False
1975,False,False
1976,False,False
1977,False,False
1978,False,True
1979,True,False
1980,False,False
1981,False,False
1982,False,False
1983,False,False
1984,False,True
1985,True,False
1986,False,False
1987,False,False
1988,False,False
1989,False,False
1990,False,True
1991,True,False
1992,False,False
1993,False,False
1994,False,False
1995,False,True
1996,True,False
1997,False,False
1998,False,False
1999,False,False
2000,False,False
2001,False,False
2002,False,False
2003,False,False
2004,False,False
2005,False,True
2006,True,False
2007,False,False
2008,False,False
2009,False,False
2010,False,True
2011,True,False
2012,False,False
2013,False,False
2014,False,False
2015,False,False
2016,False,True
2017,True,False
2018,False,False
2019,False,False
2020,False,False
2021,False,False
2022,False,False
2023,False,False
2024,False,True
2025,True,False
2026,False,False
2027,False,False
2028,False,False
2029,False,False
2030,False,False
2031,False,True
2032,True,False
2033,False,False
2034,False,False
2035,False,False
2036,False,False
2037,False,True
2038,True,False
2039,False,False
2040,False,False
2041,False,False
2042,False,False
2043,False,False
2044,False,False
2045,False,True
2046,True,False
2047,False,False
2048,False,False
2049,False,False
2050,False,False
2051,False,False
2052,False,True
2053,True,False
2054,False,False
2055,False,False
2056,False,False
2057,False,False
2058,False,False
2059,False,False
2060,False,False
2061,False,True
2062,True,False
2063,False,False
2064,False,False
2065,False,False
2066,False,False
2067,False,False
2068,False,True
2069,True,False
2070,False,False
2071,False,False
2072,False,False
2073,False,True
2074,True,False
2075,False,False
2076,False,False
2077,False,False
2078,False,False
2079,False,False
2080,False,False
2081,False,True
2082,True,False
2083,False,False
2084,False,False
2085,False,False
2086,False,False
2087,False,False
2088,False,False
2089,False,False
2090,False,True
2091,True,False
2092,False,False
2093,False,False
2094,False,False
2095,False,False
2096,False,False
2097,False,False
2098,False,False
2099,False,False
2100,False,False
2101,False,True
2102,True,False
2103,False,False
2104,False,False
2105,False,False
2106,False,False
2107,False,False
2108,False,False
2109,False,True
2110,True,False
2111,False,False
2112,False,False
2113,False,False
2114,False,True
2115,True,False
2116,False,False
2117,False,False
2118,False,False
2119,False,False
2120,False,False
2121,False,True
2122,True,False
2123,False,False
2124,False,False
2125,False,False
2126,False,False
2127,False,False
2128,False,False
2129,False,True
2130,True,False
2131,False,False
2132,False,False
2133,False,False
2134,False,False
2135,False,False
2136,False,False
2137,False,False
2138,False,False
2139,False,True
2140,True,False
