resp_time,instances
7.52380952380952,2
13.7,2
15.95,2
9.1578947368421,2
6.9,2
10.8095238095238,2
12.75,2
8.66666666666667,2
10,2
10.8,2
9.33333333333333,2
9.3,2
8.33333333333333,2
12.05,2
10.15,2
10.7619047619048,2
8.0952380952381,2
9.75,2
14,2
10.9047619047619,2
8.45,2
8.36842105263158,2
7.25,2
8.55,2
8.95,2
9.42857142857143,2
8.9,2
8.35,2
10.8,2
8.80952380952381,2
9.57142857142857,2
8.47619047619048,2
6.95238095238095,2
24.9375,2
248.611111111111,1
212.5625,1
67.6666666666667,1
326.611111111111,1
341.47619047619,1
135.3,1
379.421052631579,1
373.45,1
358.105263157895,1
221.9375,1
11.2727272727273,1
9.53846153846154,1
9.27272727272727,1
6.16666666666667,1
8.66666666666667,1
8.76923076923077,1
8.83333333333333,1
11.3636363636364,1
7.66666666666667,1
13,1
10.4736842105263,1
9.42857142857143,1
7.19047619047619,1
9,1
8.2,1
7.7,1
12.1904761904762,1
12.6842105263158,1
6.63157894736842,1
6.57142857142857,1
7.71428571428571,1
9,1
9.0952380952381,1
10.6190476190476,1
7,1
8.5,1
5.57142857142857,1
8.4,1
4.95238095238095,1
9.8,1
7.85,1
10.047619047619,1
9.33333333333333,1
7.04761904761905,1
5.15,1
5.85714285714286,1
6.76190476190476,1
7.85,1
10.0952380952381,1
8.6,1
6.71428571428571,1
6.47619047619048,1
6,1
5.65,1
6.55,1
7.7,1
4.90476190476191,1
4.76190476190476,1
7.05,1
7.4,1
8.23809523809524,1
8.3,2
8.33333333333333,2
7.71428571428571,2
9.3,2
9.1,2
7.0952380952381,2
6.66666666666667,2
5.35,2
6.75,2
8.57142857142857,2
10,2
8.76190476190476,2
6.75,2
8.66666666666667,2
6.71428571428571,2
8.63157894736842,2
8.33333333333333,2
6,2
9.6,2
9.2,2
12.2307692307692,2
9.08333333333333,2
9.58333333333333,2
9.84615384615385,2
8.0952380952381,2
8.47619047619048,2
